ID_1	ID_2	missing
0	0	0
88	88	0
108	108	0
139	139	0
159	159	0
265	265	0
350	350	0
351	351	0
403	403	0
410	410	0
424	424	0
428	428	0
430	430	0
630	630	0
763	763	0
765	765	0
766	766	0
768	768	0
772	772	0
801	801	0
870	870	0
915	915	0
932	932	0
991	991	0
992	992	0
997	997	0
1002	1002	0
1061	1061	0
1062	1062	0
1063	1063	0
1066	1066	0
1158	1158	0
1254	1254	0
1257	1257	0
1317	1317	0
1552	1552	0
1829	1829	0
1853	1853	0
1872	1872	0
1890	1890	0
1925	1925	0
1954	1954	0
2016	2016	0
2171	2171	0
2202	2202	0
2276	2276	0
2278	2278	0
2317	2317	0
4779	4779	0
4807	4807	0
4826	4826	0
4884	4884	0
4900	4900	0
4958	4958	0
5023	5023	0
5104	5104	0
5151	5151	0
5165	5165	0
5210	5210	0
5236	5236	0
5253	5253	0
5276	5276	0
5349	5349	0
5353	5353	0
5486	5486	0
5577	5577	0
5644	5644	0
5720	5720	0
5726	5726	0
5741	5741	0
5748	5748	0
5757	5757	0
5768	5768	0
5772	5772	0
5779	5779	0
5784	5784	0
5800	5800	0
5811	5811	0
5822	5822	0
5830	5830	0
5831	5831	0
5832	5832	0
5837	5837	0
5856	5856	0
5865	5865	0
5867	5867	0
5874	5874	0
5890	5890	0
5893	5893	0
5907	5907	0
5921	5921	0
5950	5950	0
5984	5984	0
5993	5993	0
6008	6008	0
6009	6009	0
6011	6011	0
6012	6012	0
6013	6013	0
6016	6016	0
6017	6017	0
6019	6019	0
6020	6020	0
6021	6021	0
6023	6023	0
6024	6024	0
6025	6025	0
6030	6030	0
6034	6034	0
6035	6035	0
6036	6036	0
6038	6038	0
6039	6039	0
6040	6040	0
6041	6041	0
6042	6042	0
6043	6043	0
6046	6046	0
6064	6064	0
6069	6069	0
6070	6070	0
6071	6071	0
6073	6073	0
6074	6074	0
6076	6076	0
6085	6085	0
6086	6086	0
6088	6088	0
6090	6090	0
6092	6092	0
6094	6094	0
6097	6097	0
6098	6098	0
6099	6099	0
6100	6100	0
6102	6102	0
6104	6104	0
6105	6105	0
6106	6106	0
6107	6107	0
6108	6108	0
6109	6109	0
6111	6111	0
6112	6112	0
6113	6113	0
