G88 G108 G139 G159 G265 G350 G351 G403 G410 G424 G428 G430 G630 G763 G765 G766 G768 G772 G801 G870 G915 G932 G991 G992 G997 G1002 G1061 G1062 G1063 G1066
G88 0 0.923269660521641 0.923269660521641 0.707011034919937 0.992470817907993 0.780700049646921 0.967579237729416 0.934641570461564 0.892247346654523 0.908355548895005 0.893048749751064 0.903947831864027 0.9653353090591 0.854421120497767 0.89529267842138 0.892487767583485 0.858027434432204 0.890163698603515 0.940652093685624 0.922788818663716 0.947952875895118 0.97559326869483 0.899147427315744 0.907602229984256 0.89529267842138 0.844243301171692 0.88078728237398 0.951230614559971 0.906752742701922 0.84672765077097
G108 0.923269660521641 0 0.282547884836771 0.999122463609287 0.946221845206587 0.965655870297717 0.983206598111974 0.969502605161116 0.951150474250317 0.909557653539817 0.971185551663853 0.948425703722076 0.935282692938797 0.865240062301077 0.872452690169949 0.860030942173558 0.868846376235513 0.838473198876593 0.985129965543674 0.96967089981139 0.981122950060966 0.936653092233883 0.924143189896871 0.91087996864911 0.988103171031843 0.965655870297717 0.910839898494284 0.966857974942529 0.907954847346734 0.944098127000752
G139 0.923269660521641 0.282547884836771 0 0.999122463609287 0.946221845206587 0.965655870297717 0.983206598111974 0.969502605161116 0.951150474250317 0.909557653539817 0.971185551663853 0.948425703722076 0.935282692938797 0.865240062301077 0.872452690169949 0.860030942173558 0.868846376235513 0.838473198876593 0.985129965543674 0.96967089981139 0.981122950060966 0.936653092233883 0.924143189896871 0.91087996864911 0.988103171031843 0.965655870297717 0.910839898494284 0.966857974942529 0.907954847346734 0.944098127000752
G159 0.707011034919937 0.999122463609287 0.999122463609287 0 0.926475272907807 0.806064457652457 0.925553659346785 0.942936092510767 0.946221845206587 0.955117419578197 0.937406411144632 0.984368632601959 0.966417203239431 0.814631456754486 0.872332479705468 0.862314940998701 0.820641979978546 0.819119314095118 0.981331314866068 0.952961645248501 0.94974801883137 0.96465411642704 0.953362346796772 0.978646614492654 0.922820874787577 0.886196753275635 0.898698641581681 0.961929345898799 0.915047264751126 0.93195687008815
G265 0.992470817907993 0.946221845206587 0.946221845206587 0.926475272907807 0 0.867604201435874 0.938047533621865 0.962810889304995 0.934841921235699 0.941333286317685 0.921218068594495 0.965776080762198 0.999282744228596 0.834506253548713 0.86095255573458 0.891806574951425 0.852537823220895 0.855823575916715 0.978438249687553 0.989978454277749 0.897496536936869 0.964982691696623 0.837319178417573 0.848178190375709 0.934689654647357 0.983006247337839 0.997279236487242 0.905198020694632 0.968909566869676 0.961448504040875
G350 0.780700049646921 0.965655870297717 0.965655870297717 0.806064457652457 0.867604201435874 0 0.830948023800068 0.934160728603639 0.906191760534344 0.946342055671068 0.969502605161116 0.941934338640091 0.955237630042678 0.892407627273831 0.94289602235594 0.916049018621803 0.891205522629019 0.92334178680033 0.920384609374092 0.899227567625398 0.929200043436048 0.979920845416154 0.927268661973383 0.916409650015246 0.894811836563455 0.887038226527004 0.923582207729292 0.902665586909562 0.983206598111974 0.947223599077264
G351 0.967579237729416 0.983206598111974 0.983206598111974 0.925553659346785 0.938047533621865 0.830948023800068 0 0.976162264893375 0.988656139168456 0.963980937825946 0.96967089981139 0.94915498053993 0.987213613594681 0.881107843612597 0.936404657273955 0.928791327856811 0.913564669022524 0.892808328822102 0.907642300139083 0.997078885713107 0.988584012889768 0.949635822397854 0.891926785415906 0.883471982747394 0.921979401536209 0.899780535762012 0.974791865598289 0.934641570461564 0.967098395871491 0.945540652574527
G403 0.934641570461564 0.969502605161116 0.969502605161116 0.942936092510767 0.962810889304995 0.934160728603639 0.976162264893375 0 0.81588164558509 0.876708140612584 0.882398102598028 0.958050554911539 0.894170714086222 0.968380640825958 0.956359594377836 0.987213613594681 0.994354115184866 0.984889544614711 0.996910591062833 0.878623494013318 0.973669901263131 0.953722978190216 0.878222792465048 0.88900166411353 0.932317501481594 0.914927054286645 0.965896291226679 0.90651232177296 0.987053332975373 0.989537682574652
G410 0.892247346654523 0.951150474250317 0.951150474250317 0.946221845206587 0.934841921235699 0.906191760534344 0.988656139168456 0.81588164558509 0 0.842167667151649 0.9079628613777 0.942743755767598 0.911881722519787 0.911561161281171 0.942815882046286 0.94481938978764 0.982485335325087 0.947303739386918 0.949707948676542 0.968460781135612 0.945700933193835 0.9798407051065 0.912763265925983 0.937967393312211 0.942815882046286 0.997639867880686 0.989946398153888 0.941052795233895 0.973509620643823 0.954283960357795
G424 0.908355548895005 0.909557653539817 0.909557653539817 0.955117419578197 0.941333286317685 0.946342055671068 0.963980937825946 0.876708140612584 0.842167667151649 0 0.870216775530599 0.97952815789885 0.942415180498015 0.966136712155642 0.958924084286769 0.965736010607371 0.99859353756557 0.988503872580113 0.936965639441534 0.919655332556239 0.990659646909809 0.957481558712995 0.861553608056986 0.884353526153589 0.973349340024515 0.94153363709182 0.969029777334157 0.952352578895129 0.971914828481706 0.964622060303179
G428 0.893048749751064 0.971185551663853 0.971185551663853 0.937406411144632 0.921218068594495 0.969502605161116 0.96967089981139 0.882398102598028 0.9079628613777 0.870216775530599 0 0.908283422616317 0.929512590643698 0.960446750170198 0.982084633776816 0.95042921146343 0.997479587261378 0.94810514248346 0.982172788117436 0.938007463467038 0.947712454966155 0.980642108203042 0.86067206465079 0.859429889851151 0.943617285142828 0.897376326472388 0.982004493467162 0.869727919641709 0.996838464784144 0.999162533764114
G430 0.903947831864027 0.948425703722076 0.948425703722076 0.984368632601959 0.965776080762198 0.941934338640091 0.94915498053993 0.958050554911539 0.942743755767598 0.97952815789885 0.908283422616317 0 0.901944324122674 0.87517746069819 0.916049018621803 0.932477782100902 0.917251123266615 0.920536875962435 0.98089054316297 0.977757057055493 0.99106034845808 0.965183042470758 0.929272169714736 0.913604739177352 0.944899530097294 0.956359594377836 0.973437494365135 0.957561699022649 0.999635361591074 0.944987684437914
G630 0.9653353090591 0.935282692938797 0.935282692938797 0.966417203239431 0.999282744228596 0.955237630042678 0.987213613594681 0.894170714086222 0.911881722519787 0.942415180498015 0.929512590643698 0.901944324122674 0 0.899948830412285 0.862034449914911 0.859229539077016 0.848811298821978 0.880947562993289 0.835355740831047 0.986251929878832 0.995636360139332 0.992751308991783 0.978638600461688 0.974519388545466 0.987053332975373 0.828383533891136 0.967739518348725 0.995476079520024 0.993704978676667 0.91444621242872
G763 0.854421120497767 0.865240062301077 0.865240062301077 0.814631456754486 0.834506253548713 0.892407627273831 0.881107843612597 0.968380640825958 0.911561161281171 0.966136712155642 0.960446750170198 0.87517746069819 0.899948830412285 0 0.570892718972375 0.669866001395242 0.526414847114325 0.657764814637467 0.883031211044296 0.908996671372238 0.946342055671069 0.850654525944023 0.764343412446511 0.779930702674242 0.871330725834792 0.905638792397729 0.890484259842132 0.893609731918643 0.95972548738331 0.890083558293861
G765 0.89529267842138 0.872452690169949 0.872452690169949 0.872332479705468 0.86095255573458 0.94289602235594 0.936404657273955 0.956359594377836 0.942815882046286 0.958924084286769 0.982084633776816 0.916049018621803 0.862034449914911 0.570892718972375 0 0.494358723252669 0.576903242196436 0.669785861085588 0.895052257492417 0.906592462082614 0.948746264960693 0.87710082812989 0.800406551790875 0.770313865515745 0.917010702337652 0.856344487929467 0.926547399186495 0.92005603410451 0.962129696672935 0.959805627692964
G766 0.892487767583485 0.860030942173558 0.860030942173558 0.862314940998701 0.891806574951425 0.916049018621803 0.928791327856811 0.987213613594681 0.94481938978764 0.965736010607371 0.95042921146343 0.932477782100902 0.859229539077016 0.669866001395242 0.494358723252669 0 0.656642850302308 0.610081330393251 0.892247346654522 0.89897913266547 0.965175028439792 0.927188521663728 0.802410059532229 0.777125791836347 0.947864721554497 0.896815344304809 0.947784581244843 0.912442704687366 0.944899530097294 0.981042809751312
G768 0.858027434432204 0.868846376235513 0.868846376235513 0.820641979978546 0.852537823220895 0.891205522629019 0.913564669022524 0.994354115184866 0.982485335325087 0.99859353756557 0.997479587261378 0.917251123266615 0.848811298821978 0.526414847114325 0.576903242196436 0.656642850302308 0 0.490672269008578 0.910679617874975 0.888560892410432 0.954756788184754 0.892728188512447 0.777566563539445 0.749878086553939 0.89897913266547 0.852738173995031 0.908515829514313 0.916449720170073 0.972948638476244 0.917731965124539
G772 0.890163698603515 0.838473198876593 0.838473198876593 0.819119314095118 0.855823575916715 0.92334178680033 0.892808328822102 0.984889544614711 0.947303739386918 0.988503872580113 0.94810514248346 0.920536875962435 0.880947562993289 0.657764814637467 0.669785861085588 0.610081330393251 0.490672269008578 0 0.894731696253801 0.872612970789258 0.962850959459822 0.905630778366764 0.896254362137229 0.866161675862099 0.897456466782042 0.875257601007845 0.959885768002619 0.890884961390402 0.971425972592815 0.921017717820359
G801 0.940652093685624 0.985129965543674 0.985129965543674 0.981331314866068 0.978438249687553 0.920384609374092 0.907642300139083 0.996910591062833 0.949707948676542 0.936965639441534 0.982172788117436 0.98089054316297 0.835355740831047 0.883031211044296 0.895052257492417 0.892247346654522 0.910679617874975 0.894731696253801 0 0.995155518281407 0.979680424487192 0.899628269173669 0.884233315689108 0.880586931599845 0.962370117601897 0.944979670406948 0.976715233029989 0.936564937893263 0.993063856199434 0.942655601426978
G870 0.922788818663716 0.96967089981139 0.96967089981139 0.952961645248501 0.989978454277749 0.899227567625398 0.997078885713107 0.878623494013318 0.968460781135612 0.919655332556239 0.938007463467038 0.977757057055493 0.986251929878832 0.908996671372238 0.906592462082614 0.89897913266547 0.888560892410432 0.872612970789258 0.995155518281407 0 0.927036255075387 0.989064854747692 0.982325054705778 0.971466042747642 0.945059810716602 0.980561967893387 0.949788088986197 0.965343323090066 0.918052526363157 0.925345294541683
G915 0.947952875895118 0.981122950060966 0.981122950060966 0.94974801883137 0.897496536936869 0.929200043436048 0.988584012889768 0.973669901263131 0.945700933193835 0.990659646909809 0.947712454966155 0.99106034845808 0.995636360139332 0.946342055671069 0.948746264960693 0.965175028439792 0.954756788184754 0.962850959459822 0.979680424487192 0.927036255075387 0 0.995387925179404 0.913885230261141 0.910238846171877 0.998361130667573 0.926547399186495 0.967899798968033 0.932557922410556 0.936164236344992 0.967499097419762
G932 0.97559326869483 0.936653092233883 0.936653092233883 0.96465411642704 0.964982691696623 0.979920845416154 0.949635822397854 0.953722978190216 0.9798407051065 0.957481558712995 0.980642108203042 0.965183042470758 0.992751308991783 0.850654525944023 0.87710082812989 0.927188521663728 0.892728188512447 0.905630778366764 0.899628269173669 0.989064854747692 0.995387925179404 0 0.948025002173805 0.949187036663791 0.949227106818618 0.989537682574651 0.997960429119302 0.937847182847729 0.922219822465172 0.953554683539941
G991 0.899147427315744 0.924143189896871 0.924143189896871 0.953362346796772 0.837319178417573 0.927268661973383 0.891926785415906 0.878222792465048 0.912763265925983 0.861553608056986 0.86067206465079 0.929272169714736 0.978638600461688 0.764343412446511 0.800406551790875 0.802410059532229 0.777566563539445 0.896254362137229 0.884233315689108 0.982325054705778 0.913885230261141 0.948025002173805 0 0.136973012350023 0.988023030722189 0.947712454966155 0.954195806017174 0.908043001687354 0.965736010607371 0.93456143015191
G992 0.907602229984256 0.91087996864911 0.91087996864911 0.978646614492654 0.848178190375709 0.916409650015246 0.883471982747394 0.88900166411353 0.937967393312211 0.884353526153589 0.859429889851151 0.913604739177352 0.974519388545466 0.779930702674242 0.770313865515745 0.777125791836347 0.749878086553939 0.866161675862099 0.880586931599845 0.971466042747642 0.910238846171877 0.949187036663791 0.136973012350023 0 0.994073624101076 0.819127328126083 0.95535784050716 0.904476757907745 0.954876998649235 0.928510836773022
G997 0.89529267842138 0.988103171031843 0.988103171031843 0.922820874787577 0.934689654647357 0.894811836563455 0.921979401536209 0.932317501481594 0.942815882046286 0.973349340024515 0.943617285142828 0.944899530097294 0.987053332975373 0.871330725834792 0.917010702337652 0.947864721554497 0.89897913266547 0.897456466782042 0.962370117601897 0.945059810716602 0.998361130667573 0.949227106818618 0.988023030722189 0.994073624101076 0 0.932085094583597 0.948433717753042 0.829906199774565 0.960935606059088 0.934409163563567
G1002 0.844243301171692 0.965655870297717 0.965655870297717 0.886196753275635 0.983006247337839 0.887038226527004 0.899780535762012 0.914927054286645 0.997639867880686 0.94153363709182 0.897376326472388 0.956359594377836 0.828383533891136 0.905638792397729 0.856344487929467 0.896815344304809 0.852738173995031 0.875257601007845 0.944979670406948 0.980561967893387 0.926547399186495 0.989537682574651 0.947712454966155 0.819127328126083 0.932085094583597 0 0.999483095002731 0.919422925658242 0.973589760953477 0.990266959392504
G1061 0.88078728237398 0.910839898494284 0.910839898494284 0.898698641581681 0.997279236487242 0.923582207729292 0.974791865598289 0.965896291226679 0.989946398153888 0.969029777334157 0.982004493467162 0.973437494365135 0.967739518348725 0.890484259842132 0.926547399186495 0.947784581244843 0.908515829514313 0.959885768002619 0.976715233029989 0.949788088986197 0.967899798968033 0.997960429119302 0.954195806017174 0.95535784050716 0.948433717753042 0.999483095002731 0 0.982485335325087 0.927356816314002 0.718110467807036
G1062 0.951230614559971 0.966857974942529 0.966857974942529 0.961929345898799 0.905198020694632 0.902665586909562 0.934641570461564 0.90651232177296 0.941052795233895 0.952352578895129 0.869727919641709 0.957561699022649 0.995476079520024 0.893609731918643 0.92005603410451 0.912442704687366 0.916449720170073 0.890884961390402 0.936564937893263 0.965343323090066 0.932557922410556 0.937847182847729 0.908043001687354 0.904476757907745 0.829906199774565 0.919422925658242 0.982485335325087 0 0.957890274292231 0.958042540880574
G1063 0.906752742701922 0.907954847346734 0.907954847346734 0.915047264751126 0.968909566869676 0.983206598111974 0.967098395871491 0.987053332975373 0.973509620643823 0.971914828481706 0.996838464784144 0.999635361591074 0.993704978676667 0.95972548738331 0.962129696672935 0.944899530097294 0.972948638476244 0.971425972592815 0.993063856199434 0.918052526363157 0.936164236344992 0.922219822465172 0.965736010607371 0.954876998649235 0.960935606059088 0.973589760953477 0.927356816314002 0.957890274292231 0 0.937374355020771
G1066 0.84672765077097 0.944098127000752 0.944098127000752 0.93195687008815 0.961448504040875 0.947223599077264 0.945540652574527 0.989537682574652 0.954283960357795 0.964622060303179 0.999162533764114 0.944987684437914 0.91444621242872 0.890083558293861 0.959805627692964 0.981042809751312 0.917731965124539 0.921017717820359 0.942655601426978 0.925345294541683 0.967499097419762 0.953554683539941 0.93456143015191 0.928510836773022 0.934409163563567 0.990266959392504 0.718110467807036 0.958042540880574 0.937374355020771 0
