G88 G108 G139 G159 G265 G350 G351 G403 G410 G424 G428 G430 G630 G763 G765 G766 G768 G772 G801 G870 G915 G932 G991 G992 G997 G1002 G1061 G1062 G1063 G1066
G88 2.35920008751322 0.199498882643733 0.199498882643733 0.761771309208164 0.0195758734392173 0.570179870918005 -0.0842939819035175 -0.169931916799935 -0.280156898698241 -0.238275572872987 -0.278073250647234 -0.249735637153529 -0.0901281964463395 -0.378505086705805 -0.272239036104412 -0.279531804282939 -0.369128670476271 -0.285574383630861 -0.154304556417377 0.200749071474338 0.135322522672694 -0.063457501393441 0.262216688979066 0.240234202040934 -0.272239036104412 -0.404967416953602 -0.309953065827651 -0.126800402144075 -0.242442868975002 -0.398508107995478
G108 0.199498882643733 1.8653754994244 1.8653754994244 0.00228159461585285 -0.139823202462873 -0.0892947372259359 -0.0436628449088666 -0.0792932265810988 -0.127008766949176 -0.235150100796476 -0.0749175656739824 -0.134093170322602 -0.168264998359128 -0.350375838017201 -0.331623005558132 -0.36391955034875 -0.340999421787667 -0.419969682920858 -0.0386620895864484 0.078855660490386 -0.0490803298414878 0.164701960191903 -0.197227706268135 -0.231712081512313 0.0309317553172092 -0.0892947372259362 -0.231816263914862 -0.0861692651494245 -0.239317396898491 -0.145344869798044
G139 0.199498882643733 1.8653754994244 1.8653754994244 0.00228159461585285 -0.139823202462873 -0.0892947372259359 -0.0436628449088666 -0.0792932265810988 -0.127008766949176 -0.235150100796476 -0.0749175656739824 -0.134093170322602 -0.168264998359128 -0.350375838017201 -0.331623005558132 -0.36391955034875 -0.340999421787667 -0.419969682920858 -0.0386620895864484 0.078855660490386 -0.0490803298414878 0.164701960191903 -0.197227706268135 -0.231712081512313 0.0309317553172092 -0.0892947372259362 -0.231816263914862 -0.0861692651494245 -0.239317396898491 -0.145344869798044
G159 0.761771309208164 0.00228159461585285 0.00228159461585285 2.28043819118513 0.191164290439702 0.504232410103613 0.19356048569836 -0.148366159472005 -0.139823202462873 -0.116694709096688 -0.162743331023958 -0.0406415552349058 -0.087315271577479 -0.481958212438336 -0.331935552765783 -0.357981153403379 -0.46633085205578 -0.470289783352694 0.0485385813482236 0.122299722353896 -0.130655151038439 -0.0918992972896955 0.121257898328392 0.0555188023190994 -0.200665725552299 -0.295888441483349 -0.263383531887629 -0.0989837006631218 -0.220877111647073 -0.176912137770809
G265 0.0195758734392173 -0.139823202462873 -0.139823202462873 0.191164290439702 2.19625880992442 -0.344229076266728 -0.161076412583152 -0.0966916878070137 -0.169411004787183 -0.15253345557402 -0.204833021654313 -0.0889821900182848 0.00186486500565144 -0.430283740773346 -0.361523355090092 -0.281302905126296 -0.383401659625673 -0.374858702616542 -0.0560605508123628 -0.0260560188778516 -0.266509003964141 0.0910450015887813 0.422970136114309 0.394736705023155 0.169806897916872 -0.044183756921619 0.00707398513317076 0.246485146193957 0.0808351261388433 -0.100233889493726
G350 0.570179870918005 -0.0892947372259359 -0.0892947372259359 0.504232410103613 -0.344229076266728 2.04415250220085 0.439535138119822 -0.17118210563054 -0.243901422610707 -0.139510655255223 -0.0792932265810993 -0.150970719535764 -0.116382161889036 -0.279740169088038 -0.148470341874556 -0.218272551583312 -0.282865641164551 -0.199311354319143 0.207000015627361 0.262008324173965 0.184079887066275 -0.052205801917999 -0.189101478869205 -0.217334909960359 -0.273489224935016 -0.29370061102979 -0.19868625990384 -0.25306947403514 -0.0436628449088674 -0.137218642399112
G351 -0.0842939819035175 -0.0436628449088666 -0.0436628449088666 0.19356048569836 -0.161076412583152 0.439535138119822 1.66034453120524 0.0619781112772238 -0.0294940381620147 0.0936495616525406 0.0788556604903862 0.132197050596183 -0.0332446046538282 -0.309119606607248 -0.165347891087718 -0.185142547572291 -0.224731860541437 -0.278698345062536 0.240130019638383 0.00759489714592295 0.029681566486604 0.130946861765579 -0.280990357918644 -0.302972844856776 -0.202853556005856 -0.260570607018769 -0.0655411494444482 -0.169931916799933 -0.0855441707341224 -0.14159430330623
G403 -0.169931916799935 -0.0792932265810988 -0.0792932265810988 -0.148366159472005 -0.0966916878070137 -0.17118210563054 0.0619781112772238 1.66409509769705 0.478707721478766 0.320558834407281 0.305764933245127 0.109068557229998 -0.275156143375823 -0.0822103338525098 -0.113465054617626 -0.0332446046538284 0.0146793005193488 -0.0392871840017509 -0.00803246323663483 -0.315578915565372 -0.0684582567158588 0.12032025670544 -0.316620739590876 -0.288595673304822 -0.175974496147857 -0.221189658854723 -0.0886696428106335 -0.243067963390305 -0.0336613342640302 -0.0272020253059059
G410 -0.280156898698241 -0.127008766949176 -0.127008766949176 -0.139823202462873 -0.169411004787183 -0.243901422610707 -0.0294940381620147 0.478707721478766 1.78744706231671 0.410364065405713 0.23929656041798 0.148866235004245 -0.229107521448553 -0.229940980668956 -0.148678706679656 -0.143469586552137 -0.0455381281547735 -0.137010277594013 -0.13075933344099 -0.0820019690474089 -0.141177573696028 -0.0524141667230989 -0.226815508592445 -0.161284777388252 -0.148678706679655 0.00613634351021752 0.0261393647998909 -0.153262732391873 -0.0688749863260602 0.118861703069734
G424 -0.238275572872987 -0.235150100796476 -0.235150100796476 -0.116694709096688 -0.15253345557402 -0.139510655255223 0.0936495616525406 0.320558834407281 0.410364065405713 1.57741533877513 0.337436383620444 0.0532267894629903 -0.14972053070516 -0.0880445483953312 -0.106797380854401 -0.0890863724208349 -0.00365680232951855 0.0298899312917053 -0.163889337452012 -0.208896135353779 -0.0242849180344953 -0.110547947346214 -0.359960619051837 -0.300680832000668 -0.0692917159362615 -0.152012543561269 0.0805225789311918 -0.123883294872664 0.0730214459475649 0.0919826432117343
G428 -0.278073250647234 -0.0749175656739824 -0.0749175656739824 -0.162743331023958 -0.204833021654313 -0.0792932265810993 0.0788556604903862 0.305764933245127 0.23929656041798 0.337436383620444 1.81036719087779 0.238463101197577 -0.183267264326384 -0.102838449557486 -0.0465799521802779 -0.128884050195083 0.00655307312041854 -0.134926629543005 0.0463507508946657 -0.161180594985702 0.135947617087997 -0.0503305186720913 -0.362252631907945 -0.365482286387007 -0.146595058628648 -0.266821551171791 -0.0467883169853785 -0.338707408931557 0.00821999156122515 0.00217741221330276
